"year";"mean_temp";"resid_temp";"site"
"P800052QURO_clim.31";1991;13.9743045965831;-0.776213939984626;"P800052QURO"
"P800052QURO_clim.32";1992;15.8870410919189;1.13652255535124;"P800052QURO"
"P800052QURO_clim.33";1993;14.8949446678162;0.144426131248473;"P800052QURO"
"P800052QURO_clim.34";1994;15.8542326291402;1.10371409257251;"P800052QURO"
"P800052QURO_clim.35";1995;14.9109930992127;0.160474562644971;"P800052QURO"
"P800052QURO_clim.36";1996;13.939378897349;-0.811139639218657;"P800052QURO"
"P800052QURO_clim.37";1997;14.3458231290182;-0.404695407549532;"P800052QURO"
"P800052QURO_clim.38";1998;15.4179207483927;0.667402211825063;"P800052QURO"
"P800052QURO_clim.39";1999;15.6506656010945;0.900147064526848;"P800052QURO"
"P800052QURO_clim.40";2000;15.762400786082;1.01188224951428;"P800052QURO"
"P800052QURO_clim.41";2001;14.6151580015818;-0.135360534985853;"P800052QURO"
"P800052QURO_clim.42";2002;15.6919859250387;0.941467388470976;"P800052QURO"
"P800052QURO_clim.43";2003;16.5423456033071;1.79182706673939;"P800052QURO"
"P800052QURO_clim.44";2004;14.9163910547892;0.16587251822153;"P800052QURO"
"P800052QURO_clim.45";2005;15.2939163843791;0.543397847811381;"P800052QURO"
"P800052QURO_clim.46";2006;15.8841547966003;1.13363626003265;"P800052QURO"
"P800052QURO_clim.47";2007;16.1117849349976;1.36126639842987;"P800052QURO"
"P800052QURO_clim.48";2008;15.501789410909;0.751270874341323;"P800052QURO"
"P800052QURO_clim.49";2009;16.3663740158081;1.61585547924043;"P800052QURO"
"P800052QURO_clim.50";2010;15.043262163798;0.292743627230319;"P800052QURO"
"P800052QURO_clim.51";2011;15.8975219726562;1.14700343608856;"P800052QURO"
"P800052QURO_clim.52";2012;16.0567987759908;1.30628023942312;"P800052QURO"
"P800052QURO_clim.53";2013;15.1649076143901;0.414389077822383;"P800052QURO"
"P800052QURO_clim.54";2014;15.4516512552897;0.701132718722015;"P800052QURO"
"P800052QURO_clim.55";2015;16.2008234659831;1.45030492941541;"P800052QURO"
"P800052QURO_clim.56";2016;15.9451591173808;1.19464058081309;"P800052QURO"
"P800052QURO_clim.57";2017;15.896031777064;1.14551324049632;"P800052QURO"
"P800052QURO_clim.58";2018;18.0352328618368;3.28471432526906;"P800052QURO"
"P800052QURO_clim.59";2019;16.2850257555644;1.5345072189967;"P800052QURO"
"P800052QURO_clim.60";2020;15.3549836476644;0.604465111096701;"P800052QURO"
"P800057FASY_clim.1";1961;13.187867641449;-0.350799175765765;"P800057FASY"
"P800057FASY_clim.2";1962;12.456169128418;-1.0824976887968;"P800057FASY"
"P800057FASY_clim.3";1963;13.8669370810191;0.328270263804304;"P800057FASY"
"P800057FASY_clim.4";1964;13.8398496309916;0.301182813776844;"P800057FASY"
"P800057FASY_clim.5";1965;12.0771304766337;-1.46153634058106;"P800057FASY"
"P800057FASY_clim.6";1966;13.1562155087789;-0.382451308435844;"P800057FASY"
"P800057FASY_clim.7";1967;13.5142330328623;-0.0244337843524214;"P800057FASY"
"P800057FASY_clim.8";1968;13.1307396888733;-0.407927128341459;"P800057FASY"
"P800057FASY_clim.9";1969;13.3458693822225;-0.19279743499227;"P800057FASY"
