"year";"min_spei1";"min_spei3";"mean_spei1";"mean_spei3";"site"
"P800057FASY_clim.34";1994;-2.15348170941545;-1.94802237569697;-0.0294103275722678;-0.470082117173999;"P800057FASY"
"P800057FASY_clim.35";1995;-0.67351529814249;-0.376228651243516;0.359577846870406;0.336939660562713;"P800057FASY"
"P800057FASY_clim.36";1996;-0.290438497803307;-0.0680966528079113;0.647113878672089;0.784849230633319;"P800057FASY"
"P800057FASY_clim.37";1997;-1.48491160867576;0.49896389806111;0.253996588512559;1.18495477621458;"P800057FASY"
"P800057FASY_clim.38";1998;-1.40868520691473;-1.15969368004166;-0.247262455571442;-0.773615093134222;"P800057FASY"
"P800057FASY_clim.39";1999;-0.751528075556669;-0.616137775290289;-0.0125608556501982;-0.00501532900280759;"P800057FASY"
"P800057FASY_clim.40";2000;-1.59260804333528;-1.63683752802214;-0.592669069055363;0.177737254599116;"P800057FASY"
"P800057FASY_clim.41";2001;-0.587421878121416;-0.0883178557017391;0.452633750941158;0.505124506608106;"P800057FASY"
"P800057FASY_clim.42";2002;-0.831791292253411;-1.11252186245178;0.281513074232595;0.168062586308898;"P800057FASY"
"P800057FASY_clim.43";2003;-1.84226277309932;-1.78290169120462;-0.562723725650819;-1.04374546154674;"P800057FASY"
"P800057FASY_clim.44";2004;-1.23716001753747;-1.16941999095624;-0.359125247469112;-0.619219759019507;"P800057FASY"
"P800057FASY_clim.45";2005;-0.850553146083846;-0.721358266222454;0.0719189567328568;0.246609339118259;"P800057FASY"
"P800057FASY_clim.46";2006;-2.10088758333633;-1.22511500862864;0.0219942484005396;0.533470669342874;"P800057FASY"
"P800057FASY_clim.47";2007;-2.05716650494998;-1.03291483216549;0.0493784995908536;-0.0499137073252963;"P800057FASY"
"P800057FASY_clim.48";2008;-0.943604871879372;-0.930731896536681;-0.301311078433807;-0.358188584805375;"P800057FASY"
"P800057FASY_clim.49";2009;-2.02884016108866;0.277715300856734;0.023457491856052;1.22826585087551;"P800057FASY"
"P800057FASY_clim.50";2010;0.13107111489767;0.686204939907809;1.00465227296772;1.29399711865421;"P800057FASY"
"P800057FASY_clim.51";2011;-1.00954801156959;-1.43374834375008;-0.283652538428786;-0.58295450572716;"P800057FASY"
"P800057FASY_clim.52";2012;-1.46979629179067;-2.30041811514477;-0.395487732901532;-0.934460634315843;"P800057FASY"
"P800057FASY_clim.53";2013;-1.78810914699228;-0.74169456338197;0.0503752013288032;-0.00558984209723884;"P800057FASY"
"P800057FASY_clim.54";2014;-1.46500636374214;-1.53633407405316;0.349402065601679;0.0559985707067022;"P800057FASY"
"P800057FASY_clim.55";2015;-1.50729278029053;-1.57665455419945;-0.620516722762128;-0.98237920332385;"P800057FASY"
"P800057FASY_clim.56";2016;-2.19850887934638;-1.18442767929584;-0.418891813705092;-0.0156092898363945;"P800057FASY"
"P800057FASY_clim.57";2017;-1.31103051012971;-0.576743209035184;0.0279188507343376;-0.193081160266688;"P800057FASY"
"P800057FASY_clim.58";2018;-1.96889144257626;-2.59212527375634;-1.20813995791557;-2.13893462915217;"P800057FASY"
"P800057FASY_clim.59";2019;-1.42565322079114;-1.2182590349388;-0.17924553042586;-0.410131691592379;"P800057FASY"
"P800057FASY_clim.60";2020;-1.25580398403405;-0.617859379910845;0.750635072829631;1.15299639901777;"P800057FASY"
"P800057PISY_clim.1";1961;-1.13158671760793;-0.982552051028044;0.210817609363609;0.40247500159678;"P800057PISY"
"P800057PISY_clim.2";1962;-1.23902432852172;-1.16973766155246;-0.164533065090686;0.317150513292533;"P800057PISY"
"P800057PISY_clim.3";1963;-1.49770803940584;-0.591094180415288;0.0301283812069469;-0.179784008889708;"P800057PISY"
"P800057PISY_clim.4";1964;-1.38592353268895;-0.51393149047965;-0.0643838598270842;-0.0315675064938385;"P800057PISY"
"P800057PISY_clim.5";1965;0.038774108765769;0.658247608949077;0.731470823481839;1.22626436663661;"P800057PISY"
