"year";"min_bal";"mean_bal";"site"
"P800057FASY_clim.27";1987;-58.0779829809922;-3.55005211962966;"P800057FASY"
"P800057FASY_clim.28";1988;-67.2818600601338;-35.8864685004022;"P800057FASY"
"P800057FASY_clim.29";1989;-56.7083621965896;-18.7022514079558;"P800057FASY"
"P800057FASY_clim.30";1990;-75.9686773258214;-32.9139386650048;"P800057FASY"
"P800057FASY_clim.31";1991;-61.4805126421008;-20.5952439444247;"P800057FASY"
"P800057FASY_clim.32";1992;-101.918939564574;-62.1669086150399;"P800057FASY"
"P800057FASY_clim.33";1993;-53.6358111925651;-40.1962026726272;"P800057FASY"
"P800057FASY_clim.34";1994;-98.81075308701;-29.3649549681719;"P800057FASY"
"P800057FASY_clim.35";1995;-70.7755903879174;-15.6060040367805;"P800057FASY"
"P800057FASY_clim.36";1996;-56.6970251937516;-5.21089768474254;"P800057FASY"
"P800057FASY_clim.37";1997;-90.2810605481326;-6.79582949446826;"P800057FASY"
"P800057FASY_clim.38";1998;-79.2665977781587;-33.011751201905;"P800057FASY"
"P800057FASY_clim.39";1999;-54.8212073341644;-26.617386050403;"P800057FASY"
"P800057FASY_clim.40";2000;-78.8520810502625;-38.46965677138;"P800057FASY"
"P800057FASY_clim.41";2001;-34.3285518379641;-11.9021737614443;"P800057FASY"
"P800057FASY_clim.42";2002;-40.8157035347633;-15.7630896576856;"P800057FASY"
"P800057FASY_clim.43";2003;-104.897442749742;-45.3168865618739;"P800057FASY"
"P800057FASY_clim.44";2004;-51.4892044707602;-36.7557610542013;"P800057FASY"
"P800057FASY_clim.45";2005;-56.381379607091;-19.7835708421594;"P800057FASY"
"P800057FASY_clim.46";2006;-125.583975716657;-23.8532217830361;"P800057FASY"
"P800057FASY_clim.47";2007;-57.2844392037277;-19.1197982361566;"P800057FASY"
"P800057FASY_clim.48";2008;-68.2269197118422;-35.5699946808146;"P800057FASY"
"P800057FASY_clim.49";2009;-56.5319309175036;-13.0910729371897;"P800057FASY"
"P800057FASY_clim.50";2010;-40.8109071712826;6.45927063929034;"P800057FASY"
"P800057FASY_clim.51";2011;-53.9468108451662;-32.1806514388563;"P800057FASY"
"P800057FASY_clim.52";2012;-76.4968748774538;-37.3375019052833;"P800057FASY"
"P800057FASY_clim.53";2013;-113.720042936269;-25.5356613053484;"P800057FASY"
"P800057FASY_clim.54";2014;-75.7296132382304;-12.4186535636754;"P800057FASY"
"P800057FASY_clim.55";2015;-91.2655939714342;-45.1404392287898;"P800057FASY"
"P800057FASY_clim.56";2016;-79.4182657979284;-37.4539751650693;"P800057FASY"
"P800057FASY_clim.57";2017;-83.2373170383425;-25.5633354512441;"P800057FASY"
"P800057FASY_clim.58";2018;-106.842352198594;-63.9756823671799;"P800057FASY"
"P800057FASY_clim.59";2019;-91.6262891711746;-29.7557562942022;"P800057FASY"
"P800057FASY_clim.60";2020;-37.2023151457166;4.9302920448617;"P800057FASY"
"P800057PISY_clim.1";1961;-50.4054525539973;-15.0811719291065;"P800057PISY"
"P800057PISY_clim.2";1962;-80.4170822204744;-27.6575549652246;"P800057PISY"
"P800057PISY_clim.3";1963;-102.01616622472;-25.7528870565592;"P800057PISY"
"P800057PISY_clim.4";1964;-82.9351394807573;-26.118120264437;"P800057PISY"
"P800057PISY_clim.5";1965;-34.8475737644286;-1.25385563906057;"P800057PISY"
"P800057PISY_clim.6";1966;-34.8799825258196;-5.90048630416564;"P800057PISY"
"P800057PISY_clim.7";1967;-55.5314595319936;-26.8170670959164;"P800057PISY"
"P800057PISY_clim.8";1968;-70.5316451417948;-32.7623014732257;"P800057PISY"
"P800057PISY_clim.9";1969;-91.3070692108867;-31.6963950020758;"P800057PISY"
"P800057PISY_clim.10";1970;-47.2376343667633;-16.4980036306787;"P800057PISY"
"P800057PISY_clim.11";1971;-87.8286701621736;-39.5861557826118;"P800057PISY"
"P800057PISY_clim.12";1972;-41.8949195502598;3.73873045248075;"P800057PISY"
"P800057PISY_clim.13";1973;-64.3087912552072;-37.4027961556137;"P800057PISY"
"P800057PISY_clim.14";1974;-39.0368806628558;-21.9003228377094;"P800057PISY"
"P800057PISY_clim.15";1975;-47.5066126440669;-21.0730602487609;"P800057PISY"
"P800057PISY_clim.16";1976;-87.5786296181051;-41.6634587839664;"P800057PISY"
"P800057PISY_clim.17";1977;-42.9740407684782;-14.8415127953311;"P800057PISY"
"P800057PISY_clim.18";1978;-35.8155724954449;-22.0909580030965;"P800057PISY"
"P800057PISY_clim.19";1979;-65.2456797521048;-12.8146126021379;"P800057PISY"
"P800057PISY_clim.20";1980;-46.9746653790474;-10.426830021041;"P800057PISY"
"P800057PISY_clim.21";1981;-64.9844439514866;-27.6296387961831;"P800057PISY"
"P800057PISY_clim.22";1982;-46.5665285564755;-26.821404552313;"P800057PISY"
"P800057PISY_clim.23";1983;-106.24986465797;-47.2890640710445;"P800057PISY"
"P800057PISY_clim.24";1984;-51.7246531406013;-12.9470658155904;"P800057PISY"
"P800057PISY_clim.25";1985;-45.3027290566629;-9.99385828028125;"P800057PISY"
"P800057PISY_clim.26";1986;-47.3364556934853;-22.2665865812483;"P800057PISY"
"P800057PISY_clim.27";1987;-58.0779829809922;-3.55005211962966;"P800057PISY"
"P800057PISY_clim.28";1988;-67.2818600601338;-35.8864685004022;"P800057PISY"
"P800057PISY_clim.29";1989;-56.7083621965896;-18.7022514079558;"P800057PISY"
"P800057PISY_clim.30";1990;-75.9686773258214;-32.9139386650048;"P800057PISY"
"P800057PISY_clim.31";1991;-61.4805126421008;-20.5952439444247;"P800057PISY"
